url_id,user_id,task_id,url
119,69,3,https://medium.com/@sumantrapal34/data-scientist-vs-data-engineer-vs-data-analyst-vs-ml-engineer-ce5e2a5163fe
120,68,3,https://medium.com/@tuhinmukherjee74/clarify-all-your-doubts-about-the-jobs-related-to-machine-learning-and-data-science-a0e76758b439
121,74,3,https://medium.com/@wasifekbal/difference-between-data-analyst-vs-data-engineer-vs-data-scientists-vs-machine-learning-engineer-cb0cd19901f0
122,93,3,https://medium.com/@writuparnabanerjee
123,72,3,
124,89,3,https://medium.com/@rimakar2017/differentiation-between-different-job-roles-like-data-engineer-vs-data-analyst-vs-data-54a82ce11b4f?source=friends_link&sk=6ffd886ebf69b604332ded4fd6fee0a7
125,9,22,
126,6,22,
127,19,22,
128,15,22,
129,5,22,
130,17,22,
131,14,22,
132,36,20,https://github.com/Kd2706/Database/blob/master/Recipe%20database.ipynb
133,52,20,https://github.com/samp-suman/Pandas/blob/master/Recipe_AWS.ipynb
134,33,23,
135,53,20,https://github.com/surjayan12345/panda
136,35,23,
137,50,20,https://github.com/shubham40/postgresql
138,47,20,https://github.com/shruti231099/database
139,40,20,https://github.com/rahulmondalhit/postgres
140,38,20,https://github.com/SMN007/Postgresql
141,36,23,
142,38,23,
143,39,23,
144,47,23,
145,48,23,
146,43,23,
147,11,22,
148,16,22,
149,40,23,
150,53,23,
151,1,22,
152,10,22,
153,21,22,
154,12,22,
155,9,24,
156,15,24,
157,5,24,
158,16,24,
159,87,4,https://sites.google.com/view/abanerjee/home
160,78,4,https://sites.google.com/view/balakabiswas
161,86,4,https://sites.google.com/view/bantipandey/contact?authuser=0
162,82,4,https://sites.google.com/view/digantadas-info/home?authuser=0
163,73,4,https://sites.google.com/view/dilshad-hussain/home?authuser=0
164,18,22,
165,13,22,
166,18,24,
167,1,24,
168,6,24,
169,13,24,
170,12,24,
171,9,20,
172,21,20,
173,66,17,
174,14,17,
175,17,24,
176,21,24,
177,14,24,
178,8,22,
179,2,22,
180,105,4,https://sites.google.com/view/gazalgarg/home?authuser=0
181,105,5,https://www.youtube.com/watch?v=W4l4emLlIy8
182,105,6,https://sites.google.com/view/gazalgarg/resume?authuser=0
183,84,4,https://sites.google.com/view/madhuparna/home?authuser=0
184,84,5,https://www.youtube.com/watch?v=ME5IcVqz2Cs
185,84,6,https://sites.google.com/view/madhuparna/resume?authuser=0
186,102,4,https://sites.google.com/view/mushrequa/home?authuser=0
187,102,6,https://sites.google.com/view/mushrequa/resume?authuser=0
188,104,4,https://priscila12.github.io/
189,104,5,https://www.youtube.com/watch?v=BW_kkeND1hY
190,104,6,https://priscila12.github.io/
191,80,4,https://sites.google.com/view/rahul813/home?authuser=1
192,102,5,https://www.youtube.com/watch?v=mLXqLgDOMeM
193,94,4,https://sites.google.com/view/rahul-shaw-07/home?authuser=0
194,94,5,https://www.youtube.com/watch?v=73jCS3zCPeQ
195,94,6,
196,95,4,https://sites.google.com/view/rahul-singh-08/home?authuser=0
197,95,5,https://www.youtube.com/watch?v=M7p-vifm2dg
198,103,4,https://sites.google.com/view/portfolio-rajrupa/home?authuser=0
199,103,5,https://www.youtube.com/watch?v=wwT22mL8BVE&feature=emb_title
200,77,4,https://sites.google.com/view/rajtilak-pal-portfolio-website/home?authuser=0
201,77,5,https://sites.google.com/view/rajtilak-pal-portfolio-website/my-resume?authuser=0
202,89,4,https://sites.google.com/view/portfolioofrima/home?authuser=0
203,89,5,https://sites.google.com/view/portfolioofrima/resume?authuser=0
204,89,6,https://sites.google.com/view/portfolioofrima/resume?authuser=1
205,90,4,https://sites.google.com/view/ritayandharaportfolio/home?authuser=0
206,95,6,https://sites.google.com/view/rahul-singh-08/resume
207,90,5,https://sites.google.com/view/ritayandharaportfolio/resum%C3%A9?authuser=0
208,90,6,https://sites.google.com/view/ritayandharaportfolio/resum%C3%A9?authuser=0
